WKT,Status,x,y,Block
"POINT (4.50548199035425 34.658425677467)",Not Start,4.5054819900,34.6584256700,G1
"POINT (4.50547611101054 34.65849755099)",Not Start,4.5054761110,34.6584975500,G1
"POINT (4.50547014089036 34.6585703199234)",Not Start,4.5054701400,34.6585703100,G1
"POINT (4.50546417077017 34.6586430888568)",Not Start,4.5054641700,34.6586430800,G1
"POINT (4.50545829142646 34.6587149623798)",Not Start,4.5054582910,34.6587149600,G1
"POINT (4.50545338650053 34.6587742500017)",Not Start,4.5054533860,34.6587742500,G1
"POINT (4.50544942738674 34.658822225332)",Not Start,4.5054494270,34.6588222200,G1
"POINT (4.50544462195086 34.6588815230401)",Not Start,4.5054446220,34.6588815200,G1
"POINT (4.50543874260715 34.6589533965631)",Not Start,4.5054387420,34.6589533900,G1
"POINT (4.50543277147834 34.6590261754455)",Not Start,4.5054327710,34.6590261700,G1
"POINT (4.50542680135816 34.6590989443789)",Not Start,4.5054268010,34.6590989400,G1
"POINT (4.50542092201442 34.659170817902)",Not Start,4.5054209220,34.6591708100,G1
"POINT (4.50541504267071 34.659242691425)",Not Start,4.5054150420,34.6592426900,G1
"POINT (4.50540907255052 34.6593154603584)",Not Start,4.5054090720,34.6593154600,G1
"POINT (4.50540310243034 34.6593882292918)",Not Start,4.5054031020,34.6593882200,G1
"POINT (4.50539722308663 34.6594601028148)",Not Start,4.5053972230,34.6594601000,G1
"POINT (4.50539134374292 34.6595319763379)",Not Start,4.5053913430,34.6595319700,G1
"POINT (4.50538643881699 34.6595912639597)",Not Start,4.5053864380,34.6595912600,G1
"POINT (4.5053824797032 34.65963923929)",Not Start,4.5053824790,34.6596392300,G1
"POINT (4.50537767426732 34.6596985369981)",Not Start,4.5053776740,34.6596985300,G1
"POINT (4.50537179492361 34.6597704105212)",Not Start,4.5053717940,34.6597704100,G1
"POINT (4.50536581608984 34.659842273958)",Not Start,4.5053658160,34.6598422700,G1
"POINT (4.50535994545971 34.6599150529776)",Not Start,4.5053599450,34.6599150500,G1
"POINT (4.50535397433087 34.65998783186)",Not Start,4.5053539740,34.6599878300,G1
"POINT (4.50534809498716 34.6600597053831)",Not Start,4.5053480950,34.6600597000,G1
"POINT (4.50534211615342 34.6601315688199)",Not Start,4.5053421160,34.6601315600,G1
"POINT (4.50533614603324 34.6602043377533)",Not Start,4.5053361460,34.6602043300,G1
"POINT (4.50533027540309 34.6602771167729)",Not Start,4.5053302750,34.6602771100,G1
"POINT (4.50532429656935 34.6603489802097)",Not Start,4.5053242960,34.6603489800,G1
"POINT (4.50531949113344 34.6604082779178)",Not Start,4.5053194910,34.6604082700,G1
"POINT (4.50531553201965 34.6604562532481)",Not Start,4.5053155320,34.6604562500,G1
"POINT (4.50531072658378 34.6605155509562)",Not Start,4.5053107260,34.6605155500,G1
"POINT (4.50530484724006 34.6605874244793)",Not Start,4.5053048470,34.6605874200,G1
"POINT (4.50529887711988 34.6606601934126)",Not Start,4.5052988770,34.6606601900,G1
"POINT (4.5052929069997 34.660732962346)",Not Start,4.5052929070,34.6607329600,G1
"POINT (4.50528702765596 34.6608048358691)",Not Start,4.5052870270,34.6608048300,G1
"POINT (4.50528104882222 34.6608766993059)",Not Start,4.5052810480,34.6608766900,G1
"POINT (4.50527517718344 34.6609494882745)",Not Start,4.5052751770,34.6609494800,G1
"POINT (4.50526920706325 34.6610222572079)",Not Start,4.5052692070,34.6610222500,G1
"POINT (4.50526332771954 34.661094130731)",Not Start,4.5052633270,34.6610941300,G1
"POINT (4.5052573488858 34.6611659941678)",Not Start,4.5052573480,34.6611659900,G1
"POINT (4.5052525434499 34.6612252918759)",Not Start,4.5052525430,34.6612252900,G1
"POINT (4.505593877163 34.6580120834935)",Not Start,4.5055938770,34.6580120800,G1
"POINT (4.50558907172709 34.6580713812015)",Not Start,4.5055890710,34.6580713800,G1
"POINT (4.50558319238338 34.6581432547246)",Not Start,4.5055831920,34.6581432500,G1
"POINT (4.50557731303967 34.6582151282477)",Not Start,4.5055773130,34.6582151200,G1
"POINT (4.50557134291949 34.658287897181)",Not Start,4.5055713420,34.6582878900,G1
"POINT (4.5055653727993 34.6583606661144)",Not Start,4.5055653720,34.6583606600,G1
